 Time ,Sensor,X-Axis,Y-Axis,Z-Axis
1641807866237.00,S3:,0.13,-1,0.13
1641807866249.00,S3:,0.12,-1,0.14
1641807866261.00,S3:,0.12,-1,0.15
1641807866273.00,S3:,0.13,-1,0.15
1641807866285.00,S3:,0.13,-1,0.14
1641807866297.00,S3:,0.13,-1,0.14
1641807866310.00,S3:,0.12,-1,0.14
1641807866321.00,S3:,0.13,-1,0.15
1641807866334.00,S3:,0.12,-1,0.13
1641807866346.00,S3:,0.13,-1,0.15
1641807866358.00,S3:,0.12,-1,0.14
1641807866370.00,S3:,0.13,-1,0.15
1641807866383.00,S3:,0.12,-0.99,0.14
1641807866395.00,S3:,0.12,-1,0.14
1641807866406.00,S3:,0.13,-1,0.14
1641807866419.00,S3:,0.13,-1,0.14
1641807866431.00,S3:,0.12,-1,0.15
1641807866444.00,S3:,0.13,-1,0.15
1641807866456.00,S3:,0.13,-1,0.15
1641807866468.00,S3:,0.13,-1,0.14
1641807866480.00,S3:,0.12,-1,0.15
1641807866492.00,S3:,0.13,-1,0.14
1641807866504.00,S3:,0.13,-1,0.15
1641807866517.00,S3:,0.13,-1,0.14
1641807866529.00,S3:,0.13,-1,0.15
1641807866541.00,S3:,0.13,-1,0.15
1641807866553.00,S3:,0.13,-1,0.14
1641807866565.00,S3:,0.13,-1,0.14
1641807866578.00,S3:,0.12,-1,0.15
1641807866590.00,S3:,0.13,-0.99,0.13
1641807866602.00,S3:,0.12,-1,0.14
1641807866614.00,S3:,0.12,-1,0.14
1641807866626.00,S3:,0.13,-1,0.14
1641807866639.00,S3:,0.12,-1,0.15
1641807866650.00,S3:,0.12,-1,0.14
1641807866663.00,S3:,0.13,-1,0.14
1641807866675.00,S3:,0.13,-1,0.15
1641807866687.00,S3:,0.13,-1,0.14
1641807866699.00,S3:,0.12,-1,0.14
1641807866711.00,S3:,0.12,-1,0.14
1641807866723.00,S3:,0.13,-1,0.15
1641807866735.00,S3:,0.12,-1,0.14
1641807866748.00,S3:,0.13,-1,0.14
1641807866760.00,S3:,0.13,-1,0.14
1641807866771.00,S3:,0.13,-1,0.14
1641807866784.00,S3:,0.13,-1,0.15
1641807866797.00,S3:,0.13,-1,0.14
1641807866809.00,S3:,0.13,-1,0.14
1641807866821.00,S3:,0.12,-1,0.15
1641807866833.00,S3:,0.13,-1,0.14
1641807866845.00,S3:,0.12,-1,0.14
1641807866857.00,S3:,0.12,-1,0.14
